Id,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
40,145230,Podbara,Podbara,2.5,etažno grejanje,prazno,ima lift (1),"telefon, internet, interfon",61,uknjiženo,uobičajeno stanje,useljivo,2022,1
41,177430,Telep,Telep,4,etažno grejanje,prazno,ima lift (1),"telefon, internet, interfon",87,uknjiženo,uobičajeno stanje,useljivo,2022,2
42,591000,Stari Grad,Spens,6.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",302,uknjiženo,novo,useljivo,2022,4
43,711000,Bulevar Evrope,Bulevar Evrope,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",230,uknjiženo,novo,useljivo,2022,11
44,360500,Stari Grad,Centar,4.5,centralno grejanje,prazno,ima lift (1),"telefon, klima",175,uknjiženo,uobičajeno stanje,useljivo,2022,1
45,260000,Novo Naselje,Dr Jovana Raškovića,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",130,uknjiženo,u izgradnji,useljivo,2022,visoko
46,157590,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",103,uknjiženo,uobičajeno stanje,useljivo,2013,6
47,198790,Detelinara,Nova Detelinara,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",88,uknjiženo,uobičajeno stanje,useljivo,2016,2
48,117800,Salajka,Sajkaska,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",65,nije uknjiženo,u izgradnji,useljivo,2020,1
49,61800,Novo Naselje,Stanoja Stanojevica,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",28,uknjiženo,uobičajeno stanje,useljivo,2010,visoko
50,69000,Bulevar Evrope,Bulevar Evrope,0.5,etažno grejanje,prazno,ima lift (1),"telefon, kablovska",28,uknjiženo,u izgradnji,useljivo,2022,3
51,103000,Stari Grad,Centar,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",44,uknjiženo,uobičajeno stanje,useljivo,1999,3
52,76000,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",41,uknjiženo,uobičajeno stanje,useljivo,2006,3
53,125150,Bulevar Oslobođenja,Bulevar Oslobođenja,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",81,uknjiženo,uobičajeno stanje,useljivo,2006,7
54,108200,Stari Grad,Centar,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",35,uknjiženo,u izgradnji,useljivo,2006,4
55,56000,Stari Grad,Centar,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",21,uknjiženo,uobičajeno stanje,useljivo,2006,2
56,69000,Detelinara,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",26,uknjiženo,uobičajeno stanje,useljivo,2007,3
57,72100,Bulevar Oslobođenja,Bulevar Oslobođenja,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",33,uknjiženo,renovirano,useljivo,2007,3
58,103000,Novo Naselje,Novo Naselje,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",85,uknjiženo,renovirano,useljivo,2007,4
59,600000,Stari Grad,Centar,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",180,uknjiženo,renovirano,useljivo,2007,3
60,72100,Podbara,Podbara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",35,uknjiženo,u izgradnji,useljivo,2022,2
61,86210,Klisa,Klisa,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",62,uknjiženo,u izgradnji,useljivo,2022,1
62,46350,Telep,Telep,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",23,uknjiženo,uobičajeno stanje,useljivo,2006,prizemlje
63,143685,Novo Naselje,Novo Naselje,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",90,uknjiženo,uobičajeno stanje,useljivo,1996,3
64,133900,Detelinara,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",82,uknjiženo,uobičajeno stanje,useljivo,2006,5
65,185000,Liman,Liman 4,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",77,uknjiženo,uobičajeno stanje,useljivo,2006,3
66,64000,Jugovićevo,Jugovićevo,1,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010,visoko
67,104800,Grbavica,"GRBAVICA, NOVI SAD",2,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",53,uknjiženo,novo,useljivo,2010,4
68,50980,Petrovaradin,"BLOK 8, PETROVARADIN",0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",24,uknjiženo,novo,useljivo,2010,3
69,113300,Podbara,"PODBARA, NOVI SAD",2,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",47,uknjiženo,novo,useljivo,2010,3
70,128550,Podbara,"PODBARA, NOVI SAD",2.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",78,uknjiženo,novo,useljivo,2010,4
71,101000,Telep,"TELEP, NOVI SAD",2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",56,uknjiženo,novo,useljivo,2010,1
72,87500,Telep,"TELEP, NOVI SAD",2,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",61,uknjiženo,novo,useljivo,2010,3
73,97850,Grbavica,"GRBAVICA, NOVI SAD",2,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",52,uknjiženo,novo,useljivo,2010,5
74,75000,Telep,"TELEP, NOVI SAD",1.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",38,uknjiženo,novo,useljivo,2010,2
75,61800,Adice,"LIPOV GAJ, NOVI SAD",2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010,prizemlje
76,72400,Bulevar Oslobođenja,"BULEVAR, NOVI SAD",1.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",37,uknjiženo,novo,useljivo,2010,visoko
77,124220,Sajmište,"SAJAM, NOVI SAD",3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",67,uknjiženo,novo,useljivo,2010,1
78,103000,Detelinara,"DETELINARA, NOVI SAD",3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",66,uknjiženo,novo,useljivo,2010,2
79,236900,Adamovićevo Naselje,"CARA DUSANA, NOVI SAD",3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",106,uknjiženo,novo,useljivo,2010,6
80,87550,Grbavica,Miše Dimitrijevića,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",52,uknjiženo,potrebno renoviranje,useljivo,2010,6
81,206000,Petrovaradin,Blok 8,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",78,uknjiženo,uobičajeno stanje,useljivo,1900,2
82,280000,Bulevar Evrope,Bulevar Evrope,5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",177,uknjiženo,uobičajeno stanje,useljivo,1900,5
83,56900,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",24,uknjiženo,uobičajeno stanje,useljivo,1900,1
84,83900,Stari Grad,Jevrejska,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",37,uknjiženo,uobičajeno stanje,useljivo,1900,1
85,105000,Liman,Liman 2,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",53,uknjiženo,uobičajeno stanje,useljivo,1975,4
86,99910,Liman,Liman 3,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",34,uknjiženo,uobičajeno stanje,useljivo,1971,4
87,51500,Veternik,Veternik,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",31,uknjiženo,u izgradnji,useljivo,2022,2
88,149990,Stari Grad,Centar,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",48,uknjiženo,uobičajeno stanje,useljivo,2022,3
89,108150,Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),klima,60,uknjiženo,uobičajeno stanje,useljivo,2022,1
90,119480,Adice,Adice,3,podno grejanje,prazno,ima lift (1),klima,80,uknjiženo,novo,useljivo,2022,1
91,123600,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),internet,78,uknjiženo,novo,useljivo,2022,1
92,61845,Veternik,Veternik,2,podno grejanje,prazno,ima lift (1),internet,41,uknjiženo,novo,useljivo,2022,1
93,135960,Podbara,Podbara,3,centralno grejanje,prazno,ima lift (1),internet,68,uknjiženo,novo,useljivo,2022,1
94,140000,Liman,Liman 2,3,centralno grejanje,prazno,ima lift (1),internet,68,uknjiženo,uobičajeno stanje,useljivo,1970,3
95,49500,Sremska Kamenica,Sremska Kamenica,2,centralno grejanje,prazno,ima lift (1),internet,76,uknjiženo,u izgradnji,useljivo,1970,prizemlje
96,78980,Stari Grad,Centar,2.5,centralno grejanje,prazno,ima lift (1),internet,54,uknjiženo,u izgradnji,useljivo,1970,prizemlje
97,99500,Novo Naselje,Bistrica,2,centralno grejanje,namešteno,ima lift (1),internet,39,uknjiženo,u izgradnji,useljivo,2022,6
98,282000,Petrovaradin,Blok 8,4.5,centralno grejanje,namešteno,ima lift (1),internet,137,uknjiženo,uobičajeno stanje,useljivo,1960,2
99,106600,Sajmište,Branka Bajića,2,centralno grejanje,namešteno,ima lift (1),internet,45,u procesu uknjižavanja,novo,useljivo,1960,5
100,73500,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,namešteno,ima lift (1),internet,44,uknjiženo,novo,useljivo,1960,6
101,75300,Salajka,Kisačka,1.5,centralno grejanje,prazno,ima lift (1),internet,43,uknjiženo,novo,useljivo,1960,6
102,112500,Stari Grad,Jevrejska,2,centralno grejanje,prazno,ima lift (1),internet,52,uknjiženo,novo,useljivo,1960,1
103,123600,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),internet,50,uknjiženo,uobičajeno stanje,useljivo,1967,3
104,430000,Petrovaradin,Blok 8,4,centralno grejanje,prazno,ima lift (1),internet,208,uknjiženo,uobičajeno stanje,useljivo,1980,5
105,54590,Podbara,Podbara,0.5,grejanje na gas,prazno,ima lift (1),internet,21,uknjiženo,uobičajeno stanje,useljivo,2000,5
106,1,Rotkvarija,Socijalno,3,grejanje na gas,prazno,ima lift (1),internet,85,uknjiženo,uobičajeno stanje,useljivo,2018,7
107,251320,Stari Grad,Stevana Branovačkog,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2018,1
108,123600,Grbavica,Grbavica,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",75,uknjiženo,uobičajeno stanje,useljivo,2013,5
109,172200,Bulevar Oslobođenja,Bulevar Oslobođenja,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",88,uknjiženo,uobičajeno stanje,useljivo,1992,4
110,58710,Telep,Telep,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,uobičajeno stanje,useljivo,2022,visoko
111,145200,Podbara,Podbara,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",61,uknjiženo,uobičajeno stanje,useljivo,2017,1
112,130000,Banatić,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",72,uknjiženo,uobičajeno stanje,useljivo,1972,visoko
113,91770,Salajka,Salajka,2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",54,uknjiženo,uobičajeno stanje,useljivo,2022,visoko
114,126700,Banatić,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",64,uknjiženo,uobičajeno stanje,useljivo,2014,1
115,139000,Grbavica,Grbavica,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,uobičajeno stanje,useljivo,2008,4
116,1,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",145,uknjiženo,uobičajeno stanje,useljivo,2010,5
117,101420,Veternik,Veternička Rampa,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",70,uknjiženo,novo,useljivo,2022,2
118,149350,Rotkvarija,Rotkvarija,3,centralno grejanje,prazno,ima lift (1),Kanalizacija,66,uknjiženo,novo,useljivo,2022,3
119,126700,Avijatičarsko Naselje,Avijatičarsko Naselje,3,centralno grejanje,polunamešteno,ima lift (1),"frižider, šporet, Kanalizacija",87,uknjiženo,renovirano,useljivo,2022,3
120,82500,Kamenjar,Alaska 11,2.5,podno grejanje,prazno,ima lift (1),"kablovska, video nadzor, klima, centralna klima, ventilacija",50,nije uknjiženo,u izgradnji,useljivo,2020,1
121,113300,Detelinara,Detelinara,2,centralno grejanje,polunamešteno,ima lift (1),Kanalizacija,59,uknjiženo,novo,useljivo,2020,1
122,69000,Detelinara,Nova Detelinara,2,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",26,uknjiženo,novo,useljivo,2020,3
123,78280,Sajmište,Sajmište,1.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",42,uknjiženo,novo,useljivo,2020,1
124,2050,Detelinara,Orlovica Pavla,1.5,grejanje na gas,prazno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",40,uknjiženo,u izgradnji,useljivo,2020,1
125,61800,Novo Naselje,Futoški put,3,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",48,uknjiženo,uobičajeno stanje,useljivo,2020,1
126,131840,Detelinara,Nova Detelinara,3,podno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",64,uknjiženo,novo,useljivo,2020,1
127,97965,Veternik,Veternik,3,podno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",76,uknjiženo,novo,useljivo,2020,1
128,169950,Liman,Liman 3,3,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, sudo mašina, frižider, šporet, Kanalizacija",72,uknjiženo,renovirano,useljivo,2020,1
129,97850,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, sudo mašina, frižider, šporet, Kanalizacija",42,uknjiženo,uobičajeno stanje,useljivo,2020,4
130,69000,Sajmište,Sajmište,1,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, klima, Kanalizacija",37,uknjiženo,uobičajeno stanje,useljivo,2020,5
131,87550,Grbavica,Grbavica,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, frižider, šporet, ležaj, Kanalizacija",39,uknjiženo,novo,useljivo,2020,visoko
132,87000,Detelinara,Detelinara,2,centralno grejanje,prazno,ima lift (1),Kanalizacija,50,uknjiženo,novo,useljivo,2020,visoko
133,80000,Rotkvarija,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),Kanalizacija,34,uknjiženo,uobičajeno stanje,useljivo,2010,1
134,88000,Telep,Heroja Pinkija,2.5,grejanje na gas,namešteno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",69,uknjiženo,novo,useljivo,2010,prizemlje
135,87000,Rotkvarija,Socijalno,2,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",52,uknjiženo,potrebno renoviranje,useljivo,2010,prizemlje
136,99700,Petrovaradin,Petrovaradin,2,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",40,uknjiženo,potrebno renoviranje,useljivo,2010,1
137,145000,Stari Grad,Đorđa kodera 1,3,centralno grejanje,prazno,ima lift (2),"telefon, kablovska, video nadzor, TV, klima, centralna klima",66,u procesu uknjižavanja,novo,useljivo,2010,3
138,231750,Stari Grad,Stari Grad,2.5,centralno grejanje,polunamešteno,ima lift (1),klima,75,uknjiženo,uobičajeno stanje,useljivo,2010,5
139,57200,Salajka,Radoja Domanovića,1.5,grejanje na gas,prazno,ima lift (1),"telefon, interfon",27,uknjiženo,novo,useljivo,2010,prizemlje
140,117000,Stari Grad,Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon",60,uknjiženo,novo,useljivo,2010,2
141,92000,Stari Grad,Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",46,uknjiženo,novo,useljivo,2010,2
142,84460,Stari Grad,Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",41,uknjiženo,novo,useljivo,2010,1
143,325000,Grbavica,Gogoljeva,3,centralno grejanje,namešteno,ima lift (1),"telefon, klima",145,uknjiženo,novo,useljivo,2010,5
144,140000,Grbavica,Grbavica,3,centralno grejanje,namešteno,ima lift (1),"telefon, klima",65,uknjiženo,novo,useljivo,2010,1
145,87550,Stari Grad,Centar,1,centralno grejanje,namešteno,ima lift (1),"telefon, klima",29,uknjiženo,novo,useljivo,2010,4
146,80000,Bulevar Oslobođenja,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),"telefon, klima",42,uknjiženo,uobičajeno stanje,useljivo,2010,3
147,113300,Stari Grad,Kej,2,centralno grejanje,prazno,ima lift (1),"telefon, klima",55,uknjiženo,uobičajeno stanje,useljivo,2010,2
148,153850,Detelinara,Dr Svetislava Kasapinovića,2,grejanje na gas,namešteno,ima lift (1),"telefon, klima",44,uknjiženo,uobičajeno stanje,useljivo,2010,4
149,76000,Rotkvarija,Socijalno,3,centralno grejanje,prazno,ima lift (1),kablovska,76,uknjiženo,novo,useljivo,2010,suteren
150,140000,Detelinara,Nova Detelinara,4.5,centralno grejanje,prazno,ima lift (1),kablovska,98,uknjiženo,uobičajeno stanje,useljivo,2011,3
151,127720,Banatić,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),kablovska,80,uknjiženo,renovirano,useljivo,2011,8
152,216300,Bulevar Oslobođenja,Bulevar Oslobođenja,3.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",91,uknjiženo,renovirano,useljivo,2011,3
153,107120,Grbavica,Danila KIša,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",52,uknjiženo,renovirano,useljivo,2010,prizemlje
154,231750,Grbavica,Gogoljeva,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",107,uknjiženo,renovirano,useljivo,2010,4
155,178950,Stari Grad,Kej Žrtava Racije,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",73,uknjiženo,renovirano,useljivo,2010,1
156,127720,Detelinara,Branka Bajića,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",45,uknjiženo,novo,useljivo,2010,3
157,123600,Podbara,Gundulićeva,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",43,u procesu uknjižavanja,novo,useljivo,2020,3
158,74160,Rotkvarija,Socijalno,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",27,uknjiženo,uobičajeno stanje,useljivo,2020,1
159,66950,Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",24,uknjiženo,renovirano,useljivo,2010,3
160,66950,Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010,visoko
